"FishCode","FishDesc","Consigned","Sold","LowPrice","AvgPrice","HighPrice","MonthNum","YearNum"
"FWWL","Greysole | large","","34","2.36","3.38","5.12","1","2023"
"MKTL","Monkfish, tails | large","","8594","2","2.65","3.92","1","2023"
"CADM","Cod | market","","5259","2.06","3.13","4.77","1","2023"
"FPWM","Dab | medium","","3692","0.8","1.41","1.87","1","2023"
"HDDP","Haddock | snapper","","474","0.98","1.68","2","1","2023"
"MKTS","Monkfish, tails | small","","3019","1.51","1.82","2.34","1","2023"
"CADS","Cod | scrod","","72","1.21","1.78","2.73","1","2023"
"FADS","Halibut, Atlantic | 10-50","","39","13.01","13.01","13.01","1","2023"
"HDDL","Haddock | large","","12909","1.88","2.32","2.89","1","2023"
"SSBR","Scallops - boat run","","277","14.45","19.26","20.76","1","2023"
"FNWS","Blackback | small","","9","0.83","0.93","1","1","2023"
"FPWS","Dab | small","","1684","0.59","0.9","1","1","2023"
"FPWL","Dab | large","","2160","1.47","2.02","2.11","1","2023"
"HWSJ","Hake, white | sow","","3348","1.8","2.52","4.76","1","2023"
"HWSM","Hake, white | medium","","351","1.16","1.43","2.71","1","2023"
"PADS","Pollock, Atl | small","","4794","0.62","0.94","1.31","1","2023"
"HSWX","Whiting | mixed","","13","0.5","0.5","0.5","1","2023"
"CKDX","Cusk | mixed","","187","0.7","0.79","0.82","1","2023"
"FWWM","Greysole | medium","","267","1.21","2.57","3.01","1","2023"
"PADL","Pollock, Atl | large","","9648","1.52","1.85","2.32","1","2023"
"PADM","Pollock, Atl | medium","","14255","1.13","1.47","1.62","1","2023"
"CADL","Cod | large","","2427","2.67","3.83","5.06","1","2023"
"FWWS","Greysole | small","","7069","0.81","1.21","2.53","1","2023"
"HDDS","Haddock | scrod","","28948","1.54","2.08","2.8","1","2023"
"HWSL","Hake, white | large","","4432","1.64","2.59","3.96","1","2023"
"POWX","Redfish | mixed","","618","0.5","0.76","1.22","1","2023"
"HDDL","Haddock | large","","18478","1.54","2.01","2.82","2","2023"
"HWSJ","Hake, white | sow","","1753","1.24","2.48","4.07","2","2023"
"CADM","Cod | market","","3305","1.63","2.3","4.12","2","2023"
"FWWL","Greysole | large","","25","2.35","3.95","5.17","2","2023"
"HWSS","Hake, white | small","","7","0.6","0.66","0.8","2","2023"
"POWX","Redfish | mixed","","492","0.58","0.67","1.01","2","2023"
"FNWS","Blackback | small","","3","0.8","0.8","0.8","2","2023"
"FWWM","Greysole | medium","","369","0.01","2.6","4.17","2","2023"
"PADL","Pollock, Atl | large","","3346","1.77","2.41","3.57","2","2023"
"CKDX","Cusk | mixed","","56","0.62","0.72","0.82","2","2023"
"FPWL","Dab | large","","1588","1.66","2.13","2.97","2","2023"
"HDDP","Haddock | snapper","","65","1","1.06","1.07","2","2023"
"PADM","Pollock, Atl | medium","","4169","1.29","2.13","3.25","2","2023"
"PADS","Pollock, Atl | small","","366","0.6","1.11","1.47","2","2023"
"CADL","Cod | large","","1380","2.09","3.59","5.77","2","2023"
"FPWM","Dab | medium","","2947","1.17","1.73","2.48","2","2023"
"HDDS","Haddock | scrod","","23443","1.34","1.65","2.27","2","2023"
"HWSM","Hake, white | medium","","136","1.06","1.47","2.25","2","2023"
"MKTL","Monkfish, tails | large","","5612","2.27","2.69","4.32","2","2023"
"MKTS","Monkfish, tails | small","","3820","1.45","1.77","1.97","2","2023"
"CADS","Cod | scrod","","6","0.9","1.02","1.13","2","2023"
"SSBR","Scallops - boat run","","238","12.74","12.91","13.01","2","2023"
"FWWS","Greysole | small","","1733","0.56","0.94","1.09","2","2023"
"HSWX","Whiting | mixed","","204","0.46","0.48","0.7","2","2023"
"HWSL","Hake, white | large","","4188","1.1","1.98","3.62","2","2023"
"FPWS","Dab | small","","3802","0.73","1.16","1.82","3","2023"
"HWSS","Hake, white | small","","208","0.67","0.7","0.73","3","2023"
"POWX","Redfish | mixed","","1449","0.58","0.7","0.88","3","2023"
"FADM","Halibut, Atlantic | 50-85","","75","13.11","13.11","13.11","3","2023"
"FNWL","Blackback | large","","3","1.2","1.2","1.2","3","2023"
"FNWS","Blackback | small","","1","1.04","1.04","1.04","3","2023"
"FPWL","Dab | large","","1498","1.96","2.44","3.18","3","2023"
"FWWM","Greysole | medium","","609","1.94","2.58","5.42","3","2023"
"HWSJ","Hake, white | sow","","5345","0.96","1.15","4.12","3","2023"
"HWSM","Hake, white | medium","","2352","1","1.07","1.61","3","2023"
"HSWX","Whiting | mixed","","117","0.52","0.65","0.66","3","2023"
"HWSL","Hake, white | large","","8733","0.97","1.36","2.71","3","2023"
"CADM","Cod | market","","16229","1.7","1.91","2.99","3","2023"
"PADL","Pollock, Atl | large","","1400","1.31","2.99","3.82","3","2023"
"CADS","Cod | scrod","","19","1.03","1.17","1.19","3","2023"
"FADS","Halibut, Atlantic | 10-50","","106","12.31","13.06","13.66","3","2023"
"HDDL","Haddock | large","","18158","1.47","1.95","2.25","3","2023"
"HDDP","Haddock | snapper","","193","0.89","0.97","1.04","3","2023"
"HDDS","Haddock | scrod","","29752","1.25","1.51","1.86","3","2023"
"PADM","Pollock, Atl | medium","","1762","1.38","2.57","3.87","3","2023"
"CADL","Cod | large","","961","2.11","2.81","4.47","3","2023"
"CKDX","Cusk | mixed","","245","0.6","0.62","0.8","3","2023"
"FWWS","Greysole | small","","2855","0.97","1.66","2.52","3","2023"
